Tulipe	Tulipa	https://upload.wikimedia.org/wikipedia/commons/thumb/0/0e/Tulip_Tulipa_clusiana_%27Lady_Jane%27_Rock_Ledge_Plant_1730px.jpg/330px-Tulip_Tulipa_clusiana_%27Lady_Jane%27_Rock_Ledge_Plant_1730px.jpg	scientific
Jonquille	Narcissus pseudonarcissus	https://upload.wikimedia.org/wikipedia/commons/thumb/4/40/Narcissus_pseudonarcissus1.jpg/330px-Narcissus_pseudonarcissus1.jpg	scientific
Pivoine	Paeonia	https://upload.wikimedia.org/wikipedia/commons/thumb/6/68/Pivoine_Desjardins.jpg/330px-Pivoine_Desjardins.jpg	scientific
Dahlia	Dahlia	https://upload.wikimedia.org/wikipedia/commons/thumb/5/50/Erntedank_Dahlie_Engelhardt.JPG/330px-Erntedank_Dahlie_Engelhardt.JPG	scientific
Tournesol	Helianthus annuus	https://upload.wikimedia.org/wikipedia/commons/thumb/d/d8/Helianthus_annuus_0001.JPG/330px-Helianthus_annuus_0001.JPG	scientific
Géranium	Pelargonium	https://upload.wikimedia.org/wikipedia/commons/thumb/a/ac/Pelargonium_capitatum_flickrWright.jpg/330px-Pelargonium_capitatum_flickrWright.jpg	scientific
Gerbera	Gerbera jamesonii	https://upload.wikimedia.org/wikipedia/commons/thumb/f/f8/Gerbera_pink.jpg/330px-Gerbera_pink.jpg	name
Marguerite	Leucanthemum vulgare	https://upload.wikimedia.org/wikipedia/commons/thumb/b/b5/Leucanthemum_vulgare_2007-06-02_%28plants%29.jpg/330px-Leucanthemum_vulgare_2007-06-02_%28plants%29.jpg	scientific
Zamioculcas	Zamioculcas zamiifolia		none
Plante araignée	Chlorophytum comosum	https://upload.wikimedia.org/wikipedia/commons/thumb/8/8b/Buenos_Aires%2C_bot%C3%A1nico_1994_04.jpg/330px-Buenos_Aires%2C_bot%C3%A1nico_1994_04.jpg	scientific
Pilea	Pilea peperomioides	https://upload.wikimedia.org/wikipedia/commons/thumb/5/58/Chinese_money_plant.jpg/330px-Chinese_money_plant.jpg	scientific
Croton	Codiaeum variegatum	https://upload.wikimedia.org/wikipedia/commons/thumb/b/bf/Colpfl05.jpg/330px-Colpfl05.jpg	scientific
Peperomia	Peperomia	https://upload.wikimedia.org/wikipedia/commons/thumb/e/e9/Peperomia_obtusifolia_Guadeloupe.JPG/330px-Peperomia_obtusifolia_Guadeloupe.JPG	scientific
