Roquette	Eruca sativa	https://upload.wikimedia.org/wikipedia/commons/thumb/7/79/Eruca_sativa_1_IP0206101.jpg/330px-Eruca_sativa_1_IP0206101.jpg	scientific
Mâche	Valerianella locusta	https://upload.wikimedia.org/wikipedia/commons/thumb/6/60/M%C3%A2che_%C3%A0_feuille_ronde.jpg/330px-M%C3%A2che_%C3%A0_feuille_ronde.jpg	scientific
Cresson	Lepidium sativum	https://upload.wikimedia.org/wikipedia/commons/thumb/7/7f/Gartenkresse.jpg/330px-Gartenkresse.jpg	scientific
Endive	Cichorium endivia	https://upload.wikimedia.org/wikipedia/commons/thumb/1/19/Andijvie_bloei.jpg/330px-Andijvie_bloei.jpg	scientific
Mesclun	Mélange de jeunes pousses	https://upload.wikimedia.org/wikipedia/commons/thumb/d/d0/Salade_mesclun_et_ch%C3%A8vre_chaud_sur_toasts.jpg/330px-Salade_mesclun_et_ch%C3%A8vre_chaud_sur_toasts.jpg	name
Courge butternut	Cucurbita moschata	https://upload.wikimedia.org/wikipedia/commons/thumb/9/93/Courge.jpg/330px-Courge.jpg	scientific
Potiron	Cucurbita maxima	https://upload.wikimedia.org/wikipedia/commons/thumb/4/49/Bu%C4%8De.jpg/330px-Bu%C4%8De.jpg	scientific
Maïs	Zea mays	https://upload.wikimedia.org/wikipedia/commons/thumb/e/e3/Zea_mays_-_K%C3%B6hler%E2%80%93s_Medizinal-Pflanzen-283.jpg/330px-Zea_mays_-_K%C3%B6hler%E2%80%93s_Medizinal-Pflanzen-283.jpg	scientific
Artichaut	Cynara scolymus	https://upload.wikimedia.org/wikipedia/commons/thumb/b/b0/Artischocketoskana.jpg/330px-Artischocketoskana.jpg	scientific
Asperge	Asparagus officinalis	https://upload.wikimedia.org/wikipedia/commons/thumb/e/ed/Asperges_vertes.jpg/330px-Asperges_vertes.jpg	scientific
Chou de Bruxelles	Brassica oleracea var. gemmifera	https://upload.wikimedia.org/wikipedia/commons/thumb/6/68/Chou_brux.jpg/330px-Chou_brux.jpg	scientific
Chou kale	Brassica oleracea var. acephala	https://upload.wikimedia.org/wikipedia/commons/thumb/2/20/Boerenkool.jpg/330px-Boerenkool.jpg	scientific
Chou rouge	Brassica oleracea var. capitata f. rubra	https://upload.wikimedia.org/wikipedia/commons/thumb/8/85/Brassica_oleracea_var_capitata_Rubyball.jpg/330px-Brassica_oleracea_var_capitata_Rubyball.jpg	scientific
Bette à carde	Beta vulgaris var. cicla	https://upload.wikimedia.org/wikipedia/commons/thumb/b/be/Swiss_Chard.jpg/330px-Swiss_Chard.jpg	name
Fenouil	Foeniculum vulgare	https://upload.wikimedia.org/wikipedia/commons/thumb/3/38/Illustration_Foeniculum_vulgare1.jpg/330px-Illustration_Foeniculum_vulgare1.jpg	scientific
Navet	Brassica rapa	https://upload.wikimedia.org/wikipedia/commons/thumb/d/d9/Brassica_rapa_plant.jpg/330px-Brassica_rapa_plant.jpg	scientific
Échalote	Allium cepa var. aggregatum	https://upload.wikimedia.org/wikipedia/commons/thumb/0/04/%C3%89chalotes_vari%C3%A9t%C3%A9s.jpg/330px-%C3%89chalotes_vari%C3%A9t%C3%A9s.jpg	scientific
Patate douce	Ipomoea batatas	https://upload.wikimedia.org/wikipedia/commons/thumb/3/3d/Ipomoea_batatasL_ja01.jpg/330px-Ipomoea_batatasL_ja01.jpg	scientific
Basilic	Ocimum basilicum	https://upload.wikimedia.org/wikipedia/commons/thumb/9/97/Ocimum_basilicum_8zz.jpg/330px-Ocimum_basilicum_8zz.jpg	scientific
Persil	Petroselinum crispum	https://upload.wikimedia.org/wikipedia/commons/thumb/2/2d/Petroselinum_crispum_-_K%C3%B6hler%E2%80%93s_Medizinal-Pflanzen-103.jpg/330px-Petroselinum_crispum_-_K%C3%B6hler%E2%80%93s_Medizinal-Pflanzen-103.jpg	scientific
Ciboulette	Allium schoenoprasum	https://upload.wikimedia.org/wikipedia/commons/thumb/2/2a/Ciboulette.JPG/330px-Ciboulette.JPG	scientific
Menthe	Mentha	https://upload.wikimedia.org/wikipedia/commons/thumb/4/4c/Mentha_aquatica_%282005_09_18%29_-_uitsnede.jpg/330px-Mentha_aquatica_%282005_09_18%29_-_uitsnede.jpg	scientific
Thym	Thymus vulgaris	https://upload.wikimedia.org/wikipedia/commons/thumb/1/12/Thymus_vulgaris_-_K%C3%B6hler%E2%80%93s_Medizinal-Pflanzen-271.jpg/330px-Thymus_vulgaris_-_K%C3%B6hler%E2%80%93s_Medizinal-Pflanzen-271.jpg	scientific
Romarin	Salvia rosmarinus	https://upload.wikimedia.org/wikipedia/commons/thumb/0/00/Rosmarinus_officinalis_-_K%C3%B6hler%E2%80%93s_Medizinal-Pflanzen-258.jpg/330px-Rosmarinus_officinalis_-_K%C3%B6hler%E2%80%93s_Medizinal-Pflanzen-258.jpg	scientific
Coriandre	Coriandrum sativum	https://upload.wikimedia.org/wikipedia/commons/thumb/1/13/Coriandrum_sativum_-_K%C3%B6hler%E2%80%93s_Medizinal-Pflanzen-193.jpg/330px-Coriandrum_sativum_-_K%C3%B6hler%E2%80%93s_Medizinal-Pflanzen-193.jpg	scientific
Sauge	Salvia officinalis	https://upload.wikimedia.org/wikipedia/commons/thumb/6/62/Salvia_officinalis_jfg1.jpg/330px-Salvia_officinalis_jfg1.jpg	scientific
Origan	Origanum vulgare	https://upload.wikimedia.org/wikipedia/commons/thumb/1/1f/Illustration_Origanum_vulgare0.jpg/330px-Illustration_Origanum_vulgare0.jpg	scientific
Lavande	Lavandula	https://upload.wikimedia.org/wikipedia/commons/thumb/4/40/Lavandula_angustifolia_-_K%C3%B6hler%E2%80%93s_Medizinal-Pflanzen-087.jpg/330px-Lavandula_angustifolia_-_K%C3%B6hler%E2%80%93s_Medizinal-Pflanzen-087.jpg	scientific
Aneth	Anethum graveolens	https://upload.wikimedia.org/wikipedia/commons/thumb/4/4b/Illustration_Anethum_graveolens_clean.jpg/330px-Illustration_Anethum_graveolens_clean.jpg	scientific
Estragon	Artemisia dracunculus	https://upload.wikimedia.org/wikipedia/commons/thumb/f/fb/-2019-07-21_Tarragon%2C_%28Artemisia_dracunculus%29%2C_Trimingham.JPG/330px--2019-07-21_Tarragon%2C_%28Artemisia_dracunculus%29%2C_Trimingham.JPG	scientific
Cerfeuil	Anthriscus cerefolium	https://upload.wikimedia.org/wikipedia/commons/thumb/e/e8/Illustration_Anthriscus_cerefolium0_clean.jpg/330px-Illustration_Anthriscus_cerefolium0_clean.jpg	scientific
Mélisse	Melissa officinalis	https://upload.wikimedia.org/wikipedia/commons/thumb/f/f9/Melissa_officinalis_1.jpg/330px-Melissa_officinalis_1.jpg	scientific
Laurier	Laurus nobilis	https://upload.wikimedia.org/wikipedia/commons/thumb/e/ea/Illustration_Laurus_nobilis0.jpg/330px-Illustration_Laurus_nobilis0.jpg	scientific
Verveine	Aloysia citrodora	https://upload.wikimedia.org/wikipedia/commons/thumb/a/a6/Aloysia_citriodora_002.jpg/330px-Aloysia_citriodora_002.jpg	scientific
Fraisier	Fragaria × ananassa	https://upload.wikimedia.org/wikipedia/commons/thumb/e/ed/Strawberries.JPG/330px-Strawberries.JPG	scientific
Framboisier	Rubus idaeus	https://upload.wikimedia.org/wikipedia/commons/thumb/7/79/Rubus_idaeus_-_K%C3%B6hler%E2%80%93s_Medizinal-Pflanzen-124.jpg/330px-Rubus_idaeus_-_K%C3%B6hler%E2%80%93s_Medizinal-Pflanzen-124.jpg	scientific
Citronnier	Citrus limon	https://upload.wikimedia.org/wikipedia/commons/thumb/8/8f/Citrus_x_limon_-_K%C3%B6hler%E2%80%93s_Medizinal-Pflanzen-041.jpg/330px-Citrus_x_limon_-_K%C3%B6hler%E2%80%93s_Medizinal-Pflanzen-041.jpg	scientific
Pommier	Malus domestica	https://upload.wikimedia.org/wikipedia/commons/thumb/2/20/Cleaned-Illustration_Malus_domestica.jpg/330px-Cleaned-Illustration_Malus_domestica.jpg	scientific
Vigne	Vitis vinifera	https://upload.wikimedia.org/wikipedia/commons/thumb/e/e4/Vitis_vinifera_-_K%C3%B6hler%E2%80%93s_Medizinal-Pflanzen-145.jpg/330px-Vitis_vinifera_-_K%C3%B6hler%E2%80%93s_Medizinal-Pflanzen-145.jpg	scientific
Myrtillier	Vaccinium corymbosum	https://upload.wikimedia.org/wikipedia/commons/thumb/1/17/Vaccinium_corymbosum%2801%29.jpg/330px-Vaccinium_corymbosum%2801%29.jpg	scientific
Cerisier	Prunus avium	https://upload.wikimedia.org/wikipedia/commons/thumb/3/3d/Prunus_avium.jpg/330px-Prunus_avium.jpg	scientific
Pêcher	Prunus persica	https://upload.wikimedia.org/wikipedia/commons/thumb/d/de/Illustration_Prunus_persica0.jpg/330px-Illustration_Prunus_persica0.jpg	scientific
Poirier	Pyrus communis	https://upload.wikimedia.org/wikipedia/commons/thumb/9/9c/111_Pirus_communis_L.jpg/330px-111_Pirus_communis_L.jpg	scientific
Cassis	Ribes nigrum	https://upload.wikimedia.org/wikipedia/commons/thumb/9/95/Blackcurrant_1.jpg/330px-Blackcurrant_1.jpg	scientific
Bananier	Musa	https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/Musa_paradisiaca_Blanco1.88-cropped.jpg/330px-Musa_paradisiaca_Blanco1.88-cropped.jpg	name
Ficus	Ficus benjamina	https://upload.wikimedia.org/wikipedia/commons/thumb/5/53/Ficus_benjamina_San_Jos%C3%A9.jpg/330px-Ficus_benjamina_San_Jos%C3%A9.jpg	scientific
Monstera	Monstera deliciosa	https://upload.wikimedia.org/wikipedia/commons/thumb/1/19/Cataphylls_on_Philodendron_3471s.jpg/330px-Cataphylls_on_Philodendron_3471s.jpg	scientific
Pothos	Epipremnum aureum	https://upload.wikimedia.org/wikipedia/commons/thumb/a/a3/Pothos_epipremnum_feuilles.jpg/330px-Pothos_epipremnum_feuilles.jpg	scientific
Aloe vera	Aloe vera	https://upload.wikimedia.org/wikipedia/commons/thumb/b/b5/Aloe_vera_Lanzarote.jpg/330px-Aloe_vera_Lanzarote.jpg	scientific
Orchidée	Phalaenopsis	https://upload.wikimedia.org/wikipedia/commons/thumb/a/aa/Phalaenopsis_orl1.jpg/330px-Phalaenopsis_orl1.jpg	scientific
